date,num_tests_since_last_report,last_report_date
2022-08-30 13:45:20.482622,306,2019-01-15 13:30:00
2022-08-31 09:06:48.000762,[{'count': 3}],2022-08-30 13:45:20.482622
2022-08-31 09:07:10.235042,[],2022-08-31 09:06:48.000762
2022-08-31 09:07:28.469562,[],2022-08-31 09:07:10.235042
2022-08-31 09:08:02.675289,[{'count': 1}],2022-08-31 09:07:28.469562
2022-08-31 09:09:27.712589,[{'count': 1}],2022-08-31 09:08:02.675289
2022-08-31 09:09:37.956010,[],2022-08-31 09:09:27.712589
2022-08-31 09:10:50.083200,[{'count': 1}],2022-08-31 09:09:37.956010
2022-08-31 09:12:42.015988,[{'count': 2}],2022-08-31 09:10:50.083200
2022-08-31 09:14:19.377734,[{'count': 3}],2022-08-31 09:12:42.015988
2022-08-31 09:15:06.002114,[],2022-08-31 09:14:19.377734
2022-08-31 09:15:49.684900,[{'count': 1}],2022-08-31 09:15:06.002114
2022-08-31 09:16:34.729781,[{'count': 1}],2022-08-31 09:15:49.684900
2022-08-31 09:19:41.503509,error,2022-08-31 09:16:34.729781
2022-08-31 09:20:35.069045,-1,2022-08-31 09:19:41.503509
2022-08-31 09:21:22.634363,1,2022-08-31 09:20:35.069045
2022-08-31 09:22:51.882297,3,2022-08-31 09:21:22.634363
2022-08-31 09:23:45.749584,-1,2022-08-31 09:22:51.882297
2022-08-31 09:24:14.988599,-1,2022-08-31 09:23:45.749584
2022-08-31 09:24:20.541669,-1,2022-08-31 09:24:14.988599
2022-08-31 09:24:53.129052,1,2022-08-31 09:24:20.541669
2022-08-31 09:28:07.378716,-1,2022-08-31 09:24:53.129052
2022-08-31 09:28:11.049492,-1,2022-08-31 09:28:07.378716
